first_name,second_name,web_name,id,team,element_type
Robert,Sánchez,Sanchez,145,Chelsea,GLK
Ethan,Ampadu,Ampadu,185,Chelsea,DEF
Andrey,Nascimento dos Santos,Andrey,186,Chelsea,MID
Kepa,Arrizabalaga,Arrizabalaga,187,Chelsea,GLK
Pierre-Emerick,Aubameyang,Aubameyang,188,Chelsea,FWD
César,Azpilicueta,Azpilicueta,189,Chelsea,DEF
Abdul Rahman,Baba,Baba,190,Chelsea,DEF
Benoît,Badiashile,B.Badiashile,191,Chelsea,DEF
Marcus,Bettinelli,Bettinelli,192,Chelsea,GLK
Trevoh,Chalobah,Chalobah,194,Chelsea,DEF
Ben,Chilwell,Chilwell,195,Chelsea,DEF
Carney,Chukwuemeka,Chukwuemeka,196,Chelsea,MID
Levi,Colwill,Colwill,197,Chelsea,DEF
Marc,Cucurella Saseta,Cucurella,198,Chelsea,DEF
Enzo,Fernández,Enzo,199,Chelsea,MID
Wesley,Fofana,W.Fofana,201,Chelsea,DEF
Conor,Gallagher,Gallagher,202,Chelsea,MID
Malo,Gusto,Gusto,203,Chelsea,DEF
Reece,James,James,206,Chelsea,DEF
Romelu,Lukaku Bolingoli,Lukaku,207,Chelsea,FWD
Noni,Madueke,Madueke,208,Chelsea,MID
Mykhailo,Mudryk,Mudryk,210,Chelsea,MID
Nicolas,Jackson,N.Jackson,211,Chelsea,FWD
Christopher,Nkunku,Nkunku,212,Chelsea,FWD
Christian,Pulisic,Pulisic,213,Chelsea,MID
Malang,Sarr,M.Sarr,214,Chelsea,DEF
Gabriel,Słonina,Slonina,215,Chelsea,GLK
Raheem,Sterling,Sterling,216,Chelsea,MID
Thiago,Emiliano da Silva,T.Silva,217,Chelsea,DEF
Hakim,Ziyech,Ziyech,218,Chelsea,MID
Cole,Palmer,Palmer,362,Chelsea,MID
Ângelo Gabriel,Borges Damaceno,Ângelo,589,Chelsea,MID
Ian,Maatsen,Maatsen,609,Chelsea,MID
Axel,Disasi,Disasi,611,Chelsea,DEF
Lesley,Ugochukwu,Ugochukwu,613,Chelsea,MID
Mason,Burstow,Burstow,623,Chelsea,FWD
Lucas,Bergström,Bergström,659,Chelsea,GLK
Roméo,Lavia,Lavia,667,Chelsea,MID
Bashir,Humphreys,Humphreys,671,Chelsea,DEF
Deivid Washington,de Souza Eugênio,Deivid,677,Chelsea,FWD
Eddie,Beach,Beach,680,Chelsea,GLK
Diego Manuel Jadon,da Silva Moreira,Diego Moreira,681,Chelsea,MID
Đorđe,Petrović,Petrović,687,Chelsea,GLK
Alfie,Gilchrist,Gilchrist,716,Chelsea,DEF
Ronnie,Stutter,Stutter,717,Chelsea,FWD
Alex,Matos,Matos,718,Chelsea,MID
Josh,Brooking,Brooking,723,Chelsea,DEF
Leo,Castledine,Castledine,758,Chelsea,MID
Cesare,Casadei,Casadei,791,Chelsea,MID
Ishé,Samuels-Smith,Samuels-Smith,819,Chelsea,DEF
Ollie,Harrison,Harrison,820,Chelsea,MID
Jimi,Tauriainen,Tauriainen,830,Chelsea,MID
Josh,Acheampong,Acheampong,838,Chelsea,DEF
Teddy,Sharman-Lowe,Sharman-Lowe,847,Chelsea,GLK
Tyrique,George,George,851,Chelsea,FWD
Kiano,Dyer,Dyer,852,Chelsea,MID
Ted,Curd,Curd,858,Chelsea,GLK
Zak,Sturge,Sturge,859,Chelsea,DEF
Rob,Holding,Holding,7,Crystal Palace,DEF
Naouirou,Ahamada,Ahamada,219,Crystal Palace,MID
Joachim,Andersen,Andersen,220,Crystal Palace,DEF
Jordan,Ayew,J.Ayew,221,Crystal Palace,MID
Nathaniel,Clyne,Clyne,222,Crystal Palace,DEF
Cheick,Doucouré,C.Doucouré,223,Crystal Palace,MID
Malcolm,Ebiowei,Ebiowei,224,Crystal Palace,MID
Odsonne,Edouard,Edouard,225,Crystal Palace,FWD
Eberechi,Eze,Eze,226,Crystal Palace,MID
Vicente,Guaita,Guaita,227,Crystal Palace,GLK
Marc,Guéhi,Guéhi,228,Crystal Palace,DEF
Will,Hughes,Hughes,229,Crystal Palace,MID
Sam,Johnstone,Johnstone,230,Crystal Palace,GLK
Jefferson,Lerma Solís,Lerma,231,Crystal Palace,MID
Jean-Philippe,Mateta,Mateta,232,Crystal Palace,FWD
Remi,Matthews,Matthews,233,Crystal Palace,GLK
Tyrick,Mitchell,Mitchell,234,Crystal Palace,DEF
Jake,O'Brien,O'Brien,235,Crystal Palace,DEF
Michael,Olise,Olise,236,Crystal Palace,MID
Luke,Plange,Plange,237,Crystal Palace,FWD
Chris,Richards,C.Richards,238,Crystal Palace,DEF
Jairo,Riedewald,Riedewald,239,Crystal Palace,MID
Jeffrey,Schlupp,Schlupp,240,Crystal Palace,MID
James,Tomkins,Tomkins,241,Crystal Palace,DEF
Joel,Ward,Ward,242,Crystal Palace,DEF
Joe,Whitworth,Whitworth,243,Crystal Palace,GLK
Dean,Henderson,Henderson,385,Crystal Palace,GLK
Matheus,França de Oliveira,Matheus França,615,Crystal Palace,MID
Jesurun,Rak-Sakyi,Rak-Sakyi,657,Crystal Palace,MID
John-Kymani,Gordon,Gordon,658,Crystal Palace,FWD
Ademola,Ola-Adebomi,Ola-Adebomi,720,Crystal Palace,FWD
David,Ozoh,Ozoh,721,Crystal Palace,MID
Jadan,Raymond,Raymond,724,Crystal Palace,MID
Tayo,Adaramola,Adaramola,763,Crystal Palace,DEF
Daniel,Muñoz,Muñoz,792,Crystal Palace,DEF
Adam,Wharton,Wharton,807,Crystal Palace,MID
Franco,Umeh-Chibueze,Umeh-Chibueze,821,Crystal Palace,FWD
Kaden,Rodney,Rodney,825,Crystal Palace,MID
Roshaun,Mathurin,Mathurin,842,Crystal Palace,MID
André,Tavares Gomes,André Gomes,244,Everton,MID
Jarrad,Branthwaite,Branthwaite,245,Everton,DEF
Dominic,Calvert-Lewin,Calvert-Lewin,246,Everton,FWD
Seamus,Coleman,Coleman,247,Everton,DEF
Dele,Alli,Dele,248,Everton,MID
Abdoulaye,Doucouré,A.Doucoure,249,Everton,MID
James,Garner,Garner,250,Everton,MID
Jean-Philippe,Gbamin,Gbamin,251,Everton,MID
Ben,Godfrey,Godfrey,252,Everton,DEF
Demarai,Gray,Gray,253,Everton,MID
Idrissa,Gueye,Gana,254,Everton,MID
Michael,Keane,Keane,257,Everton,DEF
Dwight,McNeil,McNeil,259,Everton,MID
Vitalii,Mykolenko,Mykolenko,260,Everton,DEF
Amadou,Onana,Onana,261,Everton,MID
Nathan,Patterson,Patterson,262,Everton,DEF
Jordan,Pickford,Pickford,263,Everton,GLK
Ellis,Simms,Simms,264,Everton,FWD
James,Tarkowski,Tarkowski,265,Everton,DEF
João,Neves Virgínia,J.Virginia,266,Everton,GLK
Andy,Lonergan,Lonergan,579,Everton,GLK
Ashley,Young,Young,588,Everton,DEF
Arnaut,Danjuma Groeneveld,Danjuma,601,Everton,MID
Lewis,Dobbin,Dobbin,624,Everton,MID
Youssef,Ramalho Chermiti,Y. Chermiti,645,Everton,FWD
Thomas,Cannon,Cannon,649,Everton,FWD
Tyler,Onyango,Onyango,650,Everton,MID
Jack,Harrison,Harrison,661,Everton,MID
Norberto Bercique,Gomes Betuncal,Beto,691,Everton,FWD
Mackenzie,Hunt,Hunt,719,Everton,MID
Jenson,Metcalfe,Metcalfe,760,Everton,MID
Elijah,Campbell,Campbell,761,Everton,DEF
Lewis,Warrington,Warrington,841,Everton,MID
Billy,Crellin,Crellin,863,Everton,GLK
Armando,Broja,Broja,193,Fulham,FWD
Alex,Iwobi,Iwobi,256,Fulham,MID
Andreas,Hoelgebaum Pereira,Andreas,267,Fulham,MID
Tom,Cairney,Cairney,268,Fulham,MID
Ivan,Neves Abreu Cavaleiro,I.Cavaleiro,269,Fulham,MID
Bobby,De Cordova-Reid,De Cordova-Reid,270,Fulham,MID
Issa,Diop,Diop,271,Fulham,DEF
Tyrese,Francois,Francois,272,Fulham,MID
Anthony,Knockaert,Knockaert,273,Fulham,MID
Terence,Kongolo,Kongolo,274,Fulham,DEF
Bernd,Leno,Leno,275,Fulham,GLK
Saša,Lukić,Lukić,276,Fulham,MID
Kevin,Mbabu,Mbabu,277,Fulham,DEF
Aleksandar,Mitrović,Mitrović,278,Fulham,FWD
Rodrigo,Muniz Carvalho,Muniz,279,Fulham,FWD
João,Palhinha Gonçalves,J.Palhinha,280,Fulham,MID
Tim,Ream,Ream,281,Fulham,DEF
Harrison,Reed,Reed,282,Fulham,MID
Antonee,Robinson,Robinson,283,Fulham,DEF
